reference,display_name,role,task,seed,canonical_task_score,composite_score,score_source,protocol_fingerprint,bank_byte_sha256,bank_content_sha256,expert_yaml_sha256,executed_skill_yaml_sha256,canonical_result_path,canonical_result_sha256
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,0,0.7611961659756186,0.6932151627206982,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,7cddd538daa6d54b6170592b74247e313d7015a6090982b6316a0cd0fbaef526,1efc9b29f7d131941a1bd842274a029ca5b2a2ff6a8656033ab118e32e2fae7d,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,e1bd414928c9a4a1c365d7d84c4c546e55cece7973bb77def517b86619f6397b
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,1,0.8145307654820234,0.6698126734352363,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,c178cdf0332f2deac146c73ce33772f2e6410b1ebf88b49fcfbb5a4e3d46342f,f21cc79f03d9e871b86947069440973ee7e2ef557ebaac0b26b4f6cbdabf5bb1,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,22c7a26c72b82e508efaf350e558aed3e0bd2b536a5f911a0b3dc69a8d6a84c0
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,2,0.9158714552008417,0.7000750984108768,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,feaa0c79219e0178d47a485f07a24992578c029e34f1d37e237861f3e66fd899,27920116be2b9a598fe307ae470bb0295293d051bb1ef513a0996a4d851f2459,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,d968348753f3faf4d086996801882710e70270ade48c9d1595094ab5ead2aa92
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,3,0.9029674667299816,0.7143927006576528,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,8d73473175d2485b97aa8ce0802bca94694d147c0062865e0696f75b697fa4b2,01fea9f27a58d64b0f9b0ff0cae1096a52b0da1ad311c77058a75ddb9aab77d2,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,58230ce6ee6a22e0900032e8fba42f95f93b21ec84bb32bf323bc14a32c33961
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,4,0.804393926950691,0.7111934292864488,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,93f0eb5fe766d14c1f72f343afa9bca96c3b9fff967190a00156f9f9724265b5,8d5a7e825d9524a0954b44a69bda19e1d764760f64bb1262d03aec3c389fadbb,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,92b40c9469bca8272a3939b37c7a688a5ccb1dc73b9f8a424f65f6ba6fd7d66c
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,5,0.7898032552778816,0.7246803898542353,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,9029171691571bef4f37310827c9d088420f0cebe701213b573735b9191e5615,7ff7a4e3a1b03e3d7ba3d0b298d1ee8847b5344eb55f2aa0aaf582e7a98ab8ac,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,c7b870c581c35a78e3f86f4f69e0a6636add73ed14d64c342a30b75da769e6ae
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,6,0.7212944548326646,0.6839463608131581,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,b7786192b3f42af4397fe7dd76efcdbb17bb84dddc18a100f956205912f520d4,acf3715aaa310bcc73047d49f01e71bc863ef036ae437b7dc851a0f6d3fe40ae,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,b7ae08c55c916e08efef88afe343f1ffcecc7301840f75388d8648d15e4430dd
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,7,0.794261071324998,0.7077415062621994,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,e55dc951556bed615bcf1fcc39bad4f6524f649fc3a872934351f9f00c8af8ba,75e2389a1a667086aa2b9c0de482ff37adf5571150b90a83772692baadf8b52e,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,ca517cd84a3dc4c6a1d2d19bde06e45f6c03bf59a555bfbbcfb1f44c884f56a5
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,8,0.8263939436799808,0.6952036317656616,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,a8dd8b051cab0888b2c7a9d1133811d077c33a5dec73fbd0f524b62fa804959c,8267fcc1127ab3c529e380fe6aea430def9956719b146bd9818eb52355cb895d,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,cd771e6d2d8ff0e6b5f1ce942e8d3a3fd8e74fde72c805df6ff36ed6cde9e787
expert-reference,Expert reference,reference_not_automatic_baseline,push_to_goal,9,0.869872545081548,0.705138738642145,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,400c0e41aeeacc2e18d21aa02a1182631f4e48c817a5caae14a87eda32b3c877,327b95871eb659cd41b4cf66bc0b4dfb3b240662e8501854b46ee2b8b86a04c5,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,f88c0a606426eebeef8b97fd72204bff06acc301ea98345cd40e8a738e908c89,<source-record-removed>,2a1b2f77eb23fe0ef7349cec87094690effeb048a96c0d1bf5eb9fa5dffcbaec
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,0,0.8740370378433249,0.010623539019068429,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,74501a4b11f9d71d36d37f1c071197d98b6b91b3250da2e0f23941fce01b2516,193ea3a1ce1ed79056963f057d25ec25a24d300f4824e32f67c8dd96cb6cee27,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,fc74a187e439165b068d081a9f39818d2f935d6d84f3d815a930aaf230c41908
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,1,0.8363395861180575,-0.0044671179255207916,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,85e0ff1a1e78a641b9916b9bfc06df4fc1fc638f2ee14f8b2101803b22ee3ecc,4865da8c78c0d766958c01aea638a491e86f6ad380c20093f3e1db2b764e8196,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,5f36f35c08b8e7c16adc50a293ef84f87a2d8806e9c7ac0500c84101bedc510d
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,2,0.8484260536187519,0.00034856344855838106,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,6a4db3184f02d38a0e5e493b5c3d1f5f2bfbdf69c2dde7d848268916a98e6afc,0683575c8c1f9a2e853486e53a70f2778dc5f31a7e19c0cc73869aa6c9b2eb38,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,d18a86313441d64cd2fec28d330702f1e44dd24cdfddf5524ac22698fede33e4
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,3,0.8479534278724934,0.00013128740052853471,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,38d6d806972d4f9be7d6cd515731f0b7842f720d9f33de3d3f8f9b00cf096e7b,f11800d9c2e1994b03c35d775c68a936832c378ea82102a5404a99f161f65289,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,f9372cecf3aca75dc5460987b4f07dc72196acb9b60b35ff66d3f32b40691bd2
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,4,0.8948079167421435,0.018889315979785215,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,4481c12ef5d8bb509c383af2f8e3afd62d33a25749327c02c61ea698db27fed9,9dafd9212fa57d4ed6b507cf5ac09991f034abfc2fa41dbd37d7c702246c6284,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,a25b16a1bf2e91d6856897f2521d36a985cc3de71c6bf672c1cfc101ceae3839
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,5,0.8892804146538582,0.016701695858663046,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,8d134ea6c276b240503abb494f1ab9c9e0bff4bde2f69fc2fb363d355e14d680,5dab308f3f0d3a4c4fc859445abf2870fb989899bfcd82caf016befc5af88e16,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,2cd0032758db7371e433ed8bc4c0741c52eb2591dbee62eb851a7d6f6315d83e
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,6,0.868920763928898,0.008575193886191212,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,225c524b0c6ebca8b36094b42d6fb651e8dd9d1d0a53db47020fca85412efdaf,2bcd5d362bce9ed2c176357e9c3237720ebba2a98dd8bfe48970c9fba5840ac0,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,21869b6ccb0420a10873e9ea948cc476037bc8648ea1b567a34db682aeb1213b
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,7,0.8460471484556741,-0.0006101645233095865,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,c40401db4620c8fe52f051f0f9e4e5202c4d1e55a02fc77d914b3df5fab9d922,67da8d8e2fdb6e51304324325b018cdd61d8458bea09169be4b0df58a766886a,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,d5a8b63077af5d3f4372c6fb485f75388f465fd84553a23304a56407e191d422
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,8,0.8376340243158541,-0.004003641642174094,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,f864950616cd5b67ec94759c2d7533e32df43e8fe02379eeb31a49a80474d712,111371231b67e0c9737e2a991f4190656c428bca2212422046741d75dd4bee83,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,b72e11c8713364dbc13c21c99664b546a2def5c7d4751ee07dcd269a0c74a104
expert-reference,Expert reference,reference_not_automatic_baseline,peg_insert,9,0.8496941767990247,0.0008277527255194372,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,72fd4ce2c412cbc29185bb3aa4b7231ca2fc36a9b2bcf9c40f404287d3cc6f9a,9cec5bdbb03cce7c3c09816ace5d94f97b8f61fe750542a4a790173a53dc00b4,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,e22977d43a3cc13469fcb198bc3d34e58956a1298f16b7ed07ec9fee8eb145b1,<source-record-removed>,3c3ad4aed76a38aaaa3e30c249f3f4bca7b895036db77850f57bd0463a00fa43
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,0,0.7633010210992864,0.5080983219941145,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,8e479c8653f27d7f530c16646881ed110b0386f25e2d375c035973ae7ca1d5c8,d6915c31707ac435a9367b840736087e39a7a48adfeb36a4f94b6b3ae57cce94,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,a2482051f1875b48154bb55ce616fc658127114fd5eeb162ed02bb388c66acb2
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,1,0.5251363810738109,0.40281871101419875,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,bb71f7f45980ee9a5e3152e531c2fdaca1e051ff28bec79fb6cf32be0f7edd41,a904e23429ae963dd2788b3e8d0575d9ce341e1daddfe013fbb1224c3e0c850e,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,e9befbbbc52395d7d8073d5127e69a58ce2b9deb5301e725b57df72b682d3e32
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,2,0.23092658843095068,0.25032539005979715,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,0da9b8e9af1c24f3a90b85b1f9da5ba15196f5d76d12544858cb7d5fca4ad7a0,6269840a353345700ffa70ea476a3ad730b138bf2ec3c52304c054f0e194e023,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,5dbfd43d5ba5be7c0176459ac92b9bbbc58a601be15296ddab4577ae6bc1efe2
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,3,0.2693427166403573,0.25977412418763546,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,06ea060f615c98cb0002806a7b4cf9e5fefd3bda23b0670ce2bd3d2bc74d08ed,cc7283febf3c95cef1fde4c5a16cbcb134186cb6faf3a169717a9aa53375931d,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,6aa9bb6b429d64db5075cd75d7e57dffda77d5722bd337d2ea12e5cbabbedef0
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,4,0.5200369413024298,0.3721039966737457,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,769a57366f8303923ffb5f2a5e2b9dd3f6d3e7a2cd7ea0cfcacde95e770b1fa8,424e8a040c59c1e1e42822c1022320b6050001458f7b9b4937cb9238911ce80b,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,d1476ec9f735a7cb2c2fbe19da73f6550f25964fbc94cfafb515f099d803296f
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,5,0.8176635690043191,0.5333883065275036,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,331aa4ea1df76b7697b19912673c5cb1f8bef669d62adc41c675b55df9b1a54c,9b36d26f861d7a613dfb3d8c86d70470e42095a430c2befa4bd6e530468a8a7e,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,27eb7a68cf13e7067f8cc59a75057e74e9fa4a21088e3688549fa106f34d9e8e
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,6,0.7930267054431827,0.5065389158929429,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,33810f37bae0a301a482592730268636056dd5362c99e7b0be4142f9702142f4,080f370e6b427cbdf66706e7036a0e474f3967ccfc94f129756881a980a10a27,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,5992e3cb1cbd6aa47149108639f14246ccaf9c7c5cb24d08700fd55dfba59993
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,7,0.48758773680877926,0.3005844755289887,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,0748b37a4eb4cd4d5c49282ad99ec54f55427ad2acfbca8c4d27d853cf28d819,474e87cb3f7f98c9c8d99c8760356b7c026b70b97898f68d5a6c39ba94bca956,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,aaff1b763c896e9f9f6747c783a31145f16343172a863f3c9c62e2815d7a2be4
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,8,0.1542544034754459,0.10191793662040058,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,c288ecb62948e90a2256a9b6b2afa361a296cb1c61cacc6e61c5b1b1aae0dd03,a8ce855c7f52ba2d198de8387bdd2f3b869655c206850d620daaec6ac6f298cd,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,160024f224a29eb9bb4c8c1ec31e5d99b1a125caeb73caee75ad47e0eec7768d
expert-reference,Expert reference,reference_not_automatic_baseline,peg_channel,9,0.0,-0.011972325197981804,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,057d6c90c08014724411a344f56ebb4214471d5d22562e24e5ccbee87cab0de5,bf8103833c1e96f48e87b3ce39b3b3bf17e268470bd7b5c037546fb78b5150b8,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,db073ffdf07791d1e9d71bf155ee91c8451542690743f4f25424e732345217a4,<source-record-removed>,08826cf5e95277557079bb9e2659612ab69f2fa4edc45fa924f0e81fb9b02fbf
expert-reference,Expert reference,reference_not_automatic_baseline,obstacle_reach,0,0.8784456309796699,0.8284456309796698,optimization_time_canonical_task_score,cb3b5956e71dc6fb7d50c8c3d3b8e22277d32bce683fb6036e052ad63eb16a0e,9dd3c5432faabf1d7a5ea3f76c4ce0812a4e6fe0709c582ac8eee66049671beb,30565d16bb12c763ef96950bff0806542e706772a2f5d6530b71a1e799295889,5ca02164a20961fafedcaad377be526870233719c13007ebf8b216c13ee41dcd,5ca02164a20961fafedcaad377be526870233719c13007ebf8b216c13ee41dcd,<source-record-removed>,40a07f9e4d5375b141775665cd2a011af4ffa24dc807ca528c2a0e176c9b968a
